date,close,symbol,name
2020-01-20,7115.59,sz000651,格力电器
2020-01-21,6945.28,sz000651,格力电器
2020-01-22,6958.17,sz000651,格力电器
2020-01-23,6709.61,sz000651,格力电器
2020-02-03,6233.67,sz000651,格力电器
2020-02-04,6491.43,sz000651,格力电器
2020-02-05,6609.26,sz000651,格力电器
2020-02-06,6645.17,sz000651,格力电器
2020-02-07,6566.0,sz000651,格力电器
2020-02-10,6540.22,sz000651,格力电器
2020-02-11,6707.77,sz000651,格力电器
2020-02-12,6698.56,sz000651,格力电器
2020-02-13,6613.87,sz000651,格力电器
2020-02-14,6598.22,sz000651,格力电器
2020-02-17,6634.12,sz000651,格力电器
2020-02-18,6545.74,sz000651,格力电器
2020-02-19,6500.64,sz000651,格力电器
2020-02-20,6669.1,sz000651,格力电器
2020-02-21,6589.93,sz000651,格力电器
2020-02-24,6491.43,sz000651,格力电器
2020-02-25,6369.91,sz000651,格力电器
2020-02-26,6373.59,sz000651,格力电器
2020-02-27,6412.26,sz000651,格力电器
2020-02-28,6273.25,sz000651,格力电器
2020-03-02,6349.66,sz000651,格力电器
2020-03-03,6345.98,sz000651,格力电器
2020-03-04,6330.33,sz000651,格力电器
2020-03-05,6622.15,sz000651,格力电器
2020-03-06,6483.14,sz000651,格力电器
2020-03-09,6276.01,sz000651,格力电器
2020-03-10,6417.78,sz000651,格力电器
2020-03-11,6312.84,sz000651,格力电器
2020-03-12,6183.03,sz000651,格力电器
2020-03-13,6062.44,sz000651,格力电器
2020-03-16,5831.37,sz000651,格力电器
2020-03-17,5697.89,sz000651,格力电器
2020-03-18,5650.94,sz000651,格力电器
2020-03-19,5453.93,sz000651,格力电器
2020-03-20,5570.85,sz000651,格力电器
2020-03-23,5354.51,sz000651,格力电器
2020-03-24,5531.26,sz000651,格力电器
2020-03-25,5746.68,sz000651,格力电器
2020-03-26,5686.84,sz000651,格力电器
2020-03-27,5662.9,sz000651,格力电器
2020-03-30,5617.8,sz000651,格力电器
2020-03-31,5628.84,sz000651,格力电器
2020-04-01,5609.51,sz000651,格力电器
2020-04-02,5638.05,sz000651,格力电器
2020-04-03,5606.75,sz000651,格力电器
2020-04-07,5676.71,sz000651,格力电器
2020-04-08,5592.02,sz000651,格力电器
2020-04-09,5599.38,sz000651,格力电器
2020-04-10,5770.61,sz000651,格力电器
2020-04-13,6025.61,sz000651,格力电器
2020-04-14,6015.49,sz000651,格力电器
2020-04-15,5832.29,sz000651,格力电器
2020-04-16,5884.76,sz000651,格力电器
2020-04-17,5858.99,sz000651,格力电器
2020-04-20,5838.74,sz000651,格力电器
2020-04-21,5739.31,sz000651,格力电器
2020-04-22,5812.96,sz000651,格力电器
2020-04-23,5874.64,sz000651,格力电器
2020-04-24,5808.36,sz000651,格力电器
2020-04-27,5801.91,sz000651,格力电器
2020-04-28,5885.69,sz000651,格力电器
2020-04-29,5906.86,sz000651,格力电器
2020-04-30,5865.43,sz000651,格力电器
2020-05-06,5836.89,sz000651,格力电器
2020-05-07,5803.75,sz000651,格力电器
2020-05-08,6069.8,sz000651,格力电器
2020-05-11,6182.11,sz000651,格力电器
2020-05-12,6254.84,sz000651,格力电器
2020-05-13,6198.68,sz000651,格力电器
2020-05-14,6215.25,sz000651,格力电器
2020-05-15,6156.34,sz000651,格力电器
2020-05-18,6161.86,sz000651,格力电器
2020-05-19,6164.62,sz000651,格力电器
2020-05-20,6105.71,sz000651,格力电器
2020-05-21,6071.64,sz000651,格力电器
2020-05-22,5943.68,sz000651,格力电器
2020-05-25,5877.4,sz000651,格力电器
2020-05-26,6059.68,sz000651,格力电器
2020-05-27,6000.76,sz000651,格力电器
2020-05-28,6054.15,sz000651,格力电器
2020-05-29,6065.2,sz000651,格力电器
2020-06-01,6160.02,sz000651,格力电器
2020-06-02,6171.07,sz000651,格力电器
2020-06-03,6164.62,sz000651,格力电器
2020-06-04,6314.68,sz000651,格力电器
2020-06-05,6362.55,sz000651,格力电器
2020-06-08,6566.92,sz000651,格力电器
2020-06-09,6523.65,sz000651,格力电器
2020-06-10,6469.34,sz000651,格力电器
2020-06-11,6357.94,sz000651,格力电器
2020-06-12,6357.94,sz000651,格力电器
2020-06-15,6207.89,sz000651,格力电器
2020-06-16,6258.52,sz000651,格力电器
2020-06-17,6252.08,sz000651,格力电器
2020-06-18,6278.77,sz000651,格力电器
2020-06-19,6350.58,sz000651,格力电器
2020-06-22,6205.13,sz000651,格力电器
2020-06-23,6110.31,sz000651,格力电器
2020-06-24,6201.45,sz000651,格力电器
2020-06-29,6131.48,sz000651,格力电器
2020-06-30,6141.61,sz000651,格力电器
2020-07-01,6218.94,sz000651,格力电器
2020-07-02,6292.58,sz000651,格力电器
2020-07-03,6313.76,sz000651,格力电器
2020-07-06,6573.36,sz000651,格力电器
2020-07-07,6464.73,sz000651,格力电器
2020-07-08,6410.42,sz000651,格力电器
2020-07-09,6440.8,sz000651,格力电器
2020-07-10,6364.39,sz000651,格力电器
2020-07-13,6406.74,sz000651,格力电器
2020-07-14,6321.12,sz000651,格力电器
2020-07-15,6335.85,sz000651,格力电器
2020-07-16,6088.21,sz000651,格力电器
2020-07-17,6200.52,sz000651,格力电器
2020-07-20,6358.87,sz000651,格力电器
2020-07-21,6357.02,sz000651,格力电器
2020-07-22,6413.18,sz000651,格力电器
2020-07-23,6465.65,sz000651,格力电器
2020-07-24,6195.92,sz000651,格力电器
2020-07-27,6160.94,sz000651,格力电器
2020-07-28,6178.43,sz000651,格力电器
2020-07-29,6402.13,sz000651,格力电器
2020-07-30,6225.38,sz000651,格力电器
2020-07-31,6172.91,sz000651,格力电器
2020-08-03,6210.65,sz000651,格力电器
2020-08-04,6196.84,sz000651,格力电器
2020-08-05,6167.38,sz000651,格力电器
2020-08-06,6109.39,sz000651,格力电器
2020-08-07,6112.15,sz000651,格力电器
2020-08-10,6116.75,sz000651,格力电器
2020-08-11,6077.17,sz000651,格力电器
2020-08-12,6065.2,sz000651,格力电器
2020-08-13,6068.88,sz000651,格力电器
2020-08-14,6112.15,sz000651,格力电器
2020-08-17,6162.78,sz000651,格力电器
2020-08-18,6090.98,sz000651,格力电器
2020-08-19,6014.57,sz000651,格力电器
2020-08-20,5916.99,sz000651,格力电器
2020-08-21,5925.27,sz000651,格力电器
2020-08-24,5917.91,sz000651,格力电器
2020-08-25,5931.71,sz000651,格力电器
2020-08-26,5849.78,sz000651,格力电器
2020-08-27,5807.44,sz000651,格力电器
2020-08-28,6000.76,sz000651,格力电器
2020-08-31,5951.05,sz000651,格力电器
2020-09-01,5974.06,sz000651,格力电器
2020-09-02,5953.81,sz000651,格力电器
2020-09-03,5974.06,sz000651,格力电器
2020-09-04,5981.43,sz000651,格力电器
2020-09-07,5998.0,sz000651,格力电器
2020-09-08,6041.26,sz000651,格力电器
2020-09-09,5951.05,sz000651,格力电器
2020-09-10,5960.25,sz000651,格力电器
2020-09-11,5984.19,sz000651,格力电器
2020-09-14,6022.85,sz000651,格力电器
2020-09-15,6067.96,sz000651,格力电器
2020-09-16,6001.68,sz000651,格力电器
2020-09-17,5978.66,sz000651,格力电器
2020-09-18,6056.91,sz000651,格力电器
2020-09-21,6139.77,sz000651,格力电器
2020-09-22,6043.11,sz000651,格力电器
2020-09-23,6044.03,sz000651,格力电器
2020-09-24,5935.4,sz000651,格力电器
2020-09-25,5915.14,sz000651,格力电器
2020-09-28,5814.8,sz000651,格力电器
2020-09-29,5818.48,sz000651,格力电器
2020-09-30,5840.58,sz000651,格力电器
2020-10-09,5974.06,sz000651,格力电器
2020-10-12,6072.56,sz000651,格力电器
2020-10-13,6080.85,sz000651,格力电器
2020-10-14,6236.43,sz000651,格力电器
2020-10-15,6267.73,sz000651,格力电器
2020-10-16,6245.63,sz000651,格力电器
2020-10-19,6204.21,sz000651,格力电器
2020-10-20,6241.03,sz000651,格力电器
2020-10-21,6273.25,sz000651,格力电器
2020-10-22,6328.49,sz000651,格力电器
2020-10-23,6302.71,sz000651,格力电器
2020-10-26,6290.74,sz000651,格力电器
2020-10-27,6202.37,sz000651,格力电器
2020-10-28,6205.13,sz000651,格力电器
2020-10-29,6239.19,sz000651,格力电器
2020-10-30,6312.84,sz000651,格力电器
2020-11-02,6474.86,sz000651,格力电器
2020-11-03,6460.13,sz000651,格力电器
2020-11-04,6658.06,sz000651,格力电器
2020-11-05,6715.13,sz000651,格力电器
2020-11-06,7044.7,sz000651,格力电器
2020-11-09,7152.41,sz000651,格力电器
2020-11-10,6996.83,sz000651,格力电器
2020-11-11,6992.23,sz000651,格力电器
2020-11-12,7134.4,sz000651,格力电器
2020-11-13,7124.27,sz000651,格力电器
2020-11-16,7173.98,sz000651,格力电器
2020-11-17,7321.28,sz000651,格力电器
2020-11-18,7163.86,sz000651,格力电器
2020-11-19,7275.25,sz000651,格力电器
2020-11-20,7275.25,sz000651,格力电器
2020-11-23,7307.47,sz000651,格力电器
2020-11-24,7173.98,sz000651,格力电器
2020-11-25,7176.74,sz000651,格力电器
2020-11-26,7141.76,sz000651,格力电器
2020-11-27,7161.09,sz000651,格力电器
2020-11-30,7159.25,sz000651,格力电器
2020-12-01,7210.81,sz000651,格力电器
2020-12-02,7425.3,sz000651,格力电器
2020-12-03,7330.48,sz000651,格力电器
2020-12-04,7376.51,sz000651,格力电器
2020-12-07,7284.45,sz000651,格力电器
2020-12-08,7069.04,sz000651,格力电器
2020-12-09,6788.26,sz000651,格力电器
2020-12-10,6808.51,sz000651,格力电器
2020-12-11,6897.81,sz000651,格力电器
2020-12-14,6802.07,sz000651,格力电器
2020-12-15,6639.12,sz000651,格力电器
2020-12-16,6642.81,sz000651,格力电器
2020-12-17,6696.2,sz000651,格力电器
